expert,source,target,l,m,u
E3,I1,T1,0.31800000000000006,0.36800000000000005,0.41800000000000004
E3,I1,S1,0.272,0.322,0.372
E3,I2,I1,0.08800000000000001,0.138,0.188
E3,I2,F1,0.18,0.23,0.28
E3,I2,F3,0.18,0.23,0.28
E3,I2,I3,0.22600000000000003,0.276,0.326
E3,I2,T1,0.272,0.322,0.372
E3,I2,S1,0.272,0.322,0.372
E3,F1,I1,0,0,0.05
E3,F1,I2,0.134,0.18400000000000002,0.23400000000000004
E3,F1,F3,0.31800000000000006,0.36800000000000005,0.41800000000000004
E3,F1,I3,0.134,0.18400000000000002,0.23400000000000004
E3,F1,T1,0.36400000000000005,0.41400000000000003,0.464
E3,F1,S1,0.36400000000000005,0.41400000000000003,0.464
E3,F3,I1,0,0,0.05
E3,F3,I2,0.08800000000000001,0.138,0.188
E3,F3,F1,0.18,0.23,0.28
E3,F3,I3,0.08800000000000001,0.138,0.188
E3,F3,T1,0.272,0.322,0.372
E3,F3,S1,0.31800000000000006,0.36800000000000005,0.41800000000000004
E3,I3,I1,0,0,0.05
E3,I3,I2,0.08800000000000001,0.138,0.188
E3,I3,F1,0.04200000000000001,0.09200000000000001,0.14200000000000002
E3,I3,F3,0.04200000000000001,0.09200000000000001,0.14200000000000002
E3,I3,T1,0.22600000000000003,0.276,0.326
E3,I3,S1,0.22600000000000003,0.276,0.326
E3,T1,I1,0,0.046000000000000006,0.096
E3,T1,I2,0,0.046000000000000006,0.096
E3,T1,F1,0,0.046000000000000006,0.096
E3,T1,F3,0.023599999999999996,0.0736,0.1236
E3,T1,I3,0,0.046000000000000006,0.096
E3,T1,S1,0.08800000000000001,0.138,0.188
E3,S1,I1,0,0.046000000000000006,0.096
E3,S1,I2,0.005199999999999996,0.0552,0.1052
E3,S1,F1,0.023599999999999996,0.0736,0.1236
E3,S1,F3,0.023599999999999996,0.0736,0.1236
E3,S1,I3,0,0.046000000000000006,0.096
E3,S1,T1,0.04200000000000001,0.09200000000000001,0.14200000000000002
